구 분,금액,구성비
로봇 도·소매,1237603,67.7
로봇 이용 음식점 및 관련 정보서비스,168132,9.2
로봇 임대서비스,559,0
연구개발 및 기술 서비스,140405,7.7
시설관리 및 사업지원 서비스,147606,8.1
로봇 교육서비스,62953,3.4
로봇 이용 보건 및 사회복지 서비스,10339,0.6
로봇 이용 예술·스포츠 및 여가관련 서비스,699,0
로봇 수리 및 기타 로봇 이용 개인서비스,60985,3.3
총 계 ,1829281,100
,,"(단위 : 백만원, %)"
