구 분,금액,구성비
로봇 구조용 부품 제조,113241,6.6
로봇 구동용 부품 제조,436492,25.3
로봇용 감지(센싱)장치 및 관련 부품 제조,326847,18.9
로봇 제어용 부품 제조,541060,31.3
로봇용 작동 소프트웨어 개발 및 공급,78921,4.6
기타 로봇부품 제조,231432,13.4
총 계 ,1727993,100
