지 역,제조업용 로봇,전문서비스용 로봇,개인서비스용 로봇,로봇부품 및 소프트웨어,계
수도권,1355387,220159,286437,1171652,3033635
영남권,1106626,80934,738,327952,1516251
충청권,127897,14589,24365,216322,383172
호남권,15264,20,1973,12066,29323
총 계 ,2605173,315702,313513,1727993,4962381
