구 분,금액,구성비
로봇 구조용 부품 제조,151666,8.5
로봇 구동용 부품 제조,508279,28.4
로봇용 감지(센싱)장치 및 관련 부품 제조,276652,15.4
로봇 제어용 부품 제조,426500,23.8
로봇용 작동 소프트웨어 개발 및 공급,174588,9.7
기타 로봇부품 제조,253219,14.1
총 계 ,1790905,100
