,매출,매출,매출,매출,수출,수출,수출,수출,수입,수입,수입,수입
구 분,2017,2018,2019,‘18년 대비 증감 ,2017,2018,2019,‘18년 대비 증감 ,2017,2018,2019,‘18년 대비 증감 
부품,14779,17167,17550,2.2,1072,1604,1418,△11.6,2434,1389,2151,54.9
