구 분,금액,구성비
로봇 구조용 부품 제조,4731,3.3
로봇 구동용 부품 제조,37540,26.5
로봇용 감지(센싱)장치 및 관련 부품 제조,24678,17.4
로봇 제어용 부품 제조,66321,46.8
로봇용 작동 소프트웨어 개발 및 공급,1205,0.8
기타 로봇부품 제조,7308,5.2
총 계 ,141783,100
