구 분,2017년 ,2017년 ,2018년 ,2018년 ,2019년,2019년,‘18년 대비
,,구성비,,구성비,,구성비, 증감률
제조업용 로봇 ,3328663,44.9,3168850,41,2659898,30.6,△16.1
전문서비스용 로봇 ,267477,3.6,298572,3.9,322473,3.7,8
개인서비스용 로봇 ,380693,5.1,394206,5.1,314240,3.6,△20.3
로봇부품 및 소프트웨어 ,1540547,20.8,1714983,22.2,1790905,20.6,4.4
로봇시스템,944178,12.7,1078234,14,1387591,16,28.7
로봇임베디드,197435,2.7,193714,2.5,313721,3.6,62
로봇서비스,758074,10.2,875843,11.3,1905777,21.9,117.6
총 계 ,7417068,100,7724402,100,8694605,100,12.6
,,,,,,,"단위 : 백만원, %)"
