구 분,금액,구성비
로봇 구조용 부품 제조,146935,8.9
로봇 구동용 부품 제조,470739,28.5
로봇용 감지(센싱)장치 및 관련 부품 제조,251974,15.3
로봇 제어용 부품 제조,360179,21.8
로봇용 작동 소프트웨어 개발 및 공급,173383,10.5
기타 로봇부품 제조,245911,14.9
총 계 ,1649122,100
