구 분,2017년 ,구성비,2018년 ,구성비,2019년 ,구성비,‘18년 대비  증감률
제조업용 로봇 ,3328663,60.3,3168850,56.8,2659898,52.3,△16.1
전문서비스용 로봇 ,267477,4.8,298572,5.4,322473,6.3,8
개인서비스용 로봇 ,380693,6.9,394206,7.1,314240,6.2,△20.3
로봇부품 및 소프트웨어 ,1540547,27.9,1714983,30.8,1790905,35.2,4.4
총 계 ,5517381,100,5576611,100,5087516,100,△8.8
