구 분,금액,구성비
로봇 도·소매,1256176,65.9
로봇 이용 음식점 및 관련 정보서비스,168132,8.8
로봇 임대서비스,559,0
연구개발 및 기술 서비스,156321,8.2
시설관리 및 사업지원 서비스,153948,8.1
로봇 교육서비스,62953,3.3
로봇 이용 보건 및 사회복지 서비스,10339,0.5
로봇 이용 예술·스포츠 및 여가관련 서비스,36214,1.9
로봇 수리 및 기타 로봇 이용 개인서비스,61135,3.2
총 계 ,1905777,100
,,"(단위 : 백만원, %)"
