구 분,2017년 ,구성비,2018년 ,구성비,2019년 ,구성비,‘18년 대비  증감률
제조업용 로봇 ,11511,39.6,15990,43.1,11754,37.9,△26.5
전문서비스용 로봇 ,3002,10.3,3706,10,3330,10.7,△10.1
개인서비스용 로봇 ,2196,7.5,2438,6.6,1795,5.8,△26.4
로봇부품 및 소프트웨어 ,12388,42.6,14970,40.3,14156,45.6,△5.4
총 계 ,29097,100,37104,100,31035,100,△16.4
