구 분,2017년 ,구성비,2018년 ,구성비,2019년,구성비,‘18년 대비  증감률
제조업용 로봇 ,11511,28.5,15990,32.7,11754,23.2,△26.5
전문서비스용 로봇 ,3002,7.4,3706,7.6,3330,6.6,△10.1
개인서비스용 로봇 ,2196,5.4,2438,5,1795,3.5,△26.4
로봇부품 및 소프트웨어 ,12388,30.7,14970,30.6,14156,27.9,△5.4
로봇시스템,6007,14.9,6386,13,8857,17.5,38.7
로봇임베디드,1299,3.2,1199,2.5,1933,3.8,61.2
로봇서비스,3932,9.7,4251,8.7,8922,17.6,109.8
총 계 ,40334,100,48939,100,50746,100,3.7
